"Date","Workout name","Exercise","Set","Weight","Reps","Distance","Duration","Measurement unit","Notes"
"2025-08-12 15:21:08","B","Elevação lateral com halteres","4","6","10","","","kg",
"2025-08-12 15:21:08","B","Rosca direta com barra reta","1","15","12","","","kg",
"2025-08-12 15:21:08","B","Rosca direta com barra reta","2","15","11","","","kg",
"2025-08-12 15:21:08","B","Rosca direta com barra reta","3","15","10","","","kg",
"2025-08-12 15:21:08","B","Rosca direta com barra reta","4","15","9","","","kg",
"2025-08-12 15:21:08","B","Rosca alternada com halter","1","6","10","","","kg",
"2025-08-12 15:21:08","B","Rosca alternada com halter","2","6","10","","","kg",
"2025-08-12 15:21:08","B","Rosca alternada com halter","3","6","10","","","kg",
"2025-08-12 15:21:08","B","Rosca alternada com halter","4","6","9","","","kg",
"2025-08-13 14:44:33","C","Agachamento com barra","1","50","11","","","kg",
"2025-08-13 14:44:33","C","Agachamento com barra","2","50","12","","","kg",
"2025-08-13 14:44:33","C","Agachamento com barra","3","50","10","","","kg",
"2025-08-13 14:44:33","C","Agachamento com barra","4","50","10","","","kg",
"2025-08-13 14:44:33","C","Leg press","1","200","12","","","kg",
"2025-08-13 14:44:33","C","Leg press","2","200","12","","","kg",
